Frequency [Hz]	Real_part [Hz/V]	Imag_part [Hz/V]
1.350324999998520128e+07	7.059777313337883679e+05	1.227741938418699894e+06
1.362818749998506717e+07	1.043763563138787169e+06	8.323692014696794795e+05
1.375312499998493306e+07	1.261000062738518696e+06	3.325164552454719669e+05
1.387806249998480082e+07	1.210993198405353120e+06	-1.496542567030251084e+05
1.400299999998466671e+07	9.980626168926554965e+05	-6.188158693442636868e+05
1.412793749998453259e+07	7.097511704732730286e+05	-8.801857488873808179e+05
1.425287499998440035e+07	2.991487915558450622e+05	-1.089595048914475366e+06
1.437781249998426624e+07	-1.599807603003343393e+05	-1.020375856941682869e+06
1.450274999998413213e+07	-4.984664587746336474e+05	-8.675859299016378354e+05
1.462768749998399988e+07	-8.027290805047291797e+05	-5.935540945193741936e+05
1.475262499998386577e+07	-9.031565379576252308e+05	-2.736589974754917785e+05
1.487756249998373166e+07	-9.463251641248551896e+05	1.434477850915032905e+05
1.500249999998359755e+07	-7.492805789793982403e+05	4.899230408544071834e+05
1.512743749998346530e+07	-4.891981981718897005e+05	7.053164077999095898e+05
1.525237499998333119e+07	-1.964794141459618695e+05	8.305202112082205713e+05
1.537731249998319708e+07	1.481673619285974128e+05	8.216351762489683460e+05
1.550224999998306483e+07	4.225152147964666947e+05	6.816359574663438834e+05
1.562718749998293072e+07	6.352314000768524129e+05	4.427891586643871851e+05
1.575212499998279661e+07	7.503142813227111474e+05	1.403655300669800199e+05
1.587706249998266436e+07	7.692513000646115979e+05	-1.526380530952884874e+05
1.600199999998253025e+07	6.505596279526790604e+05	-4.420205248825069866e+05
1.612693749998239614e+07	4.151487657489595586e+05	-6.219041219563451596e+05
1.625187499998226389e+07	1.482784105103366892e+05	-7.210805451323539019e+05
1.637681249998212978e+07	-1.661541829802596476e+05	-6.723599823102472583e+05
1.650174999998199567e+07	-3.918503976325951517e+05	-5.846755172997328918e+05
1.662668749998186342e+07	-5.573004375416386174e+05	-3.590990114908048999e+05
1.675162499998172931e+07	-6.833733440904449672e+05	-8.329255319535982562e+04
1.687656249998159707e+07	-6.548504751758683706e+05	1.895724822980375029e+05
1.700149999998146296e+07	-4.981957562147052959e+05	4.014952046734711621e+05
1.712643749998132885e+07	-3.206768357472796924e+05	5.789980186262578936e+05
1.725137499998119473e+07	-5.578072413148768828e+04	6.675783786200633040e+05
1.737631249998106062e+07	2.272916758321581001e+05	5.645029270644189091e+05
1.750124999998092651e+07	3.344370482976548956e+05	5.224179035768279573e+05
1.762618749998079613e+07	6.047876232617393835e+05	2.596753036019431893e+05
